Uploaded at;Replay site;User name;Reported name;Description;Replay URL;
mySharedReplays.header.uploadedAt;mySharedReplays.header.replaySite;mySharedReplays.header.userName;mySharedReplays.header.reportedName;mySharedReplays.header.description;mySharedReplays.header.replayUrl;
2011.10.17 14:55:40;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45181;
2011.10.17 14:55:41;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45182;
2011.10.17 14:55:42;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45183;
2011.10.17 14:55:42;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45184;
2011.10.17 14:55:42;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45185;
2011.10.17 14:55:43;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45186;
2011.10.17 14:55:43;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45187;
2011.10.17 14:55:44;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45188;
2011.10.17 14:55:44;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45173;
2011.10.17 14:55:45;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45189;
